EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,HIRE_DATE,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID,Phone Number
198,Donald,OConnell,DOCONNEL,21-Jun-07,SH_CLERK,2600,124,50,6505079833
199,Douglas,Grant,DGRANT,13-Jan-08,SH_CLERK,2600,124,50,6505079844
200,Jennifer,Whalen,JWHALEN,17-Sep-03,AD_ASST,4400,101,10,5151234444
201,Michael,Hartstein,MHARTSTE,17-Feb-04,MK_MAN,13000,100,20,5151235555
202,Pat,Fay,PFAY,17-Aug-05,MK_REP,6000,201,20,6031236666
203,Susan,Mavris,SMAVRIS,07-Jun-02,HR_REP,6500,101,40,5151237777
204,Hermann,Baer,HBAER,07-Jun-02,PR_REP,10000,101,70,5151238888
205,Shelley,Higgins,SHIGGINS,07-Jun-02,AC_MGR,12008,,110,5151238080
206,William,Gietz,WGIETZ,07-Jun-02,AC_ACCOUNT,8300,205,110,5151238181
100,Steven,King,SKING,17-Jun-03,AD_PRES,24000,,90,5151234567
101,Neena,Kochhar,NKOCHHAR,21-Sep-05,AD_VP,17000,100,90,5151234568
102,Lex,De Haan,LDEHAAN,13-Jan-01,AD_VP,17000,100,90,5151234569
103,Alexander,Hunold,AHUNOLD,03-Jan-06,IT_PROG,9000,102,60,5904234567
104,Bruce,Ernst,BERNST,21-May-07,IT_PROG,6000,,60,5904234568
105,David,Austin,DAUSTIN,25-Jun-05,IT_PROG,4800,103,60,5904234569
106,Valli,Pataballa,VPATABAL,05-Feb-06,IT_PROG,4800,103,60,5904234560
107,Diana,Lorentz,DLORENTZ,07-Feb-07,IT_PROG,4200,103,60,5904235567
108,Nancy,Greenberg,NGREENBE,17-Aug-02,FI_MGR,12008,101,100,5151244569
109,Daniel,Faviet,DFAVIET,16-Aug-02,FI_ACCOUNT,9000,,100,5151244169
110,John,Chen,JCHEN,28-Sep-05,FI_ACCOUNT,8200,108,100,5151244269
111,Ismael,Sciarra,ISCIARRA,30-Sep-05,FI_ACCOUNT,7700,108,100,5151244369
112,Jose Manuel,Urman,JMURMAN,07-Mar-06,FI_ACCOUNT,7800,108,100,5151244469
113,Luis,Popp,LPOPP,07-Dec-07,FI_ACCOUNT,6900,108,100,5151244567
114,Den,Raphaely,DRAPHEAL,07-Dec-02,PU_MAN,11000,100,30,5151274561
115,Alexander,Khoo,AKHOO,18-May-03,PU_CLERK,3100,114,30,5151274562
116,Shelli,Baida,SBAIDA,24-Dec-05,PU_CLERK,2900,114,30,5151274563
117,Sigal,Tobias,STOBIAS,24-Jul-05,PU_CLERK,2800,114,30,5151274564
118,Guy,Himuro,GHIMURO,15-Nov-06,PU_CLERK,2600,114,30,5151274565
119,Karen,Colmenares,KCOLMENA,10-Aug-07,PU_CLERK,2500,114,30,5151274566
120,Matthew,Weiss,MWEISS,18-Jul-04,ST_MAN,8000,100,50,6501231234
121,Adam,Fripp,AFRIPP,10-Apr-05,ST_MAN,8200,100,50,6501232234
122,Payam,Kaufling,PKAUFLIN,01-May-03,ST_MAN,7900,100,50,6501233234
123,Shanta,Vollman,SVOLLMAN,10-Oct-05,ST_MAN,6500,100,50,6501234234
124,Kevin,Mourgos,KMOURGOS,16-Nov-07,ST_MAN,5800,100,50,6501235234
125,Julia,Nayer,JNAYER,16-Jul-05,ST_CLERK,3200,120,50,6501241214
126,Irene,Mikkilineni,IMIKKILI,28-Sep-06,ST_CLERK,2700,120,50,6501241224
127,James,Landry,JLANDRY,14-Jan-07,ST_CLERK,2400,120,50,6501241334
128,Steven,Markle,SMARKLE,08-Mar-08,ST_CLERK,2200,120,50,6501241434
129,Laura,Bissot,LBISSOT,20-Aug-05,ST_CLERK,3300,121,50,6501245234
130,Mozhe,Atkinson,MATKINSO,30-Oct-05,ST_CLERK,2800,121,50,6501246234
131,James,Marlow,JAMRLOW,16-Feb-05,ST_CLERK,2500,121,50,6501247234
132,TJ,Olson,TJOLSON,10-Apr-07,ST_CLERK,2100,121,50,6501248234
133,Jason,Mallin,JMALLIN,14-Jun-04,ST_CLERK,3300,122,50,6501271934
134,Michael,Rogers,MROGERS,26-Aug-06,ST_CLERK,2900,122,50,6501271834
135,Ki,Gee,KGEE,12-Dec-07,ST_CLERK,2400,122,50,6501271734
136,Hazel,Philtanker,HPHILTAN,06-Feb-08,ST_CLERK,2200,122,50,6501271634
137,Renske,Ladwig,RLADWIG,14-Jul-03,ST_CLERK,3600,123,50,6501211234
138,Stephen,Stiles,SSTILES,26-Oct-05,ST_CLERK,3200,123,50,6501212034
139,John,Seo,JSEO,12-Feb-06,ST_CLERK,2700,123,50,6501212019
140,Joshua,Patel,JPATEL,06-Apr-06,ST_CLERK,2500,123,50,6501211834
